Actual,Predicted,Precision,Recall,F1
Experts question if  packed out planes are putting passengers at risk US consumer advisory group says minimum space must be stipulated Safety tests conducted on planes with more leg room than airlines offer ,"Shrinking space on planes is putting our health and safety in danger, say experts. U.S consumer advisory group set up by t-shirt maker says seats are getting smaller and smaller. They say shrinking space on aeroplanes is not only uncomfortable - it's putting our safety at risk.The Department of Transportation said at a public hearing that while the government is happy to set standards for animals flying on planes, it doesn't stipulate a minimum amount of space for humans. 'In a world where animals have more rights to space and food than humans,' said Charlie Leocha, consumer representative on the committee.Tests conducted by the FAA use planes with a 31 inch pitch, a standard which on some airlines has decreased. Many economy seats on United Airlines have 30 inches of room, while some airlines offer as little as 28 inches. The FAA conducts tests on how quickly passengers can leave a plane. But these tests are conducted using planes with 31 inches The distance between two seats from one point on a seat to the same point on the seat behind it is known as the pitch. While most airlines stick to a pitch of 31 inches or above, some fall below this. United Airlines has 30 inches of space, Gulf Air economy seats have between 29 and 32 inches, Air Asia offers 29 inches and Spirit Airlines offers just 28 inches.pitch of 31 inches, while easyJet has 29 inches. Thomson's short haul seat pitch is 28 inches, and Virgin Atlantic's is 30-31 inches. Virgin Atlantic has a pitch of 30 inches, Thomson has 28 inches and Virgin has 30 inches. easyJet's pitch is 29 inches and Thomson's is 28 inch.",0.6728587746620178,0.829439640045166,0.7429892420768738
"Drunk teenage boy climbed into lion enclosure at zoo in west India Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!' Fortunately he fell into a moat before reaching lions and was rescued ","Rahul Kumar, 17, clambered over the enclosure fence at the Kamla Nehru Zoological Park in Ahmedabad, western India. Mr Kumar explained afterwards that he was drunk and 'thought I'd stand a good chance' against the predators. He had to be rescued by security.Mr Kumar had been sitting near the enclosure when he suddenly made a dash for the lions. The intoxicated teenager ran towards the lions, shouting: 'Today I kill a lion or a lion kills me!' A zoo spokesman said: 'Guards had earlier spotted him close to the enclosure but had no idea he was planing to enter it'Mr Kumar fell into a moat as he ran towards the lions. He was rescued by zoo security staff before reaching the animals. Kumar later explained: 'I don't really know why I did it. I was drunk and thought I'd stand a good chance' He has been cautioned and will be sent for psychiatric evaluation.Last year a 20-year-old man was mauled to death by a tiger in the Indian capital. He climbed into its enclosure at the city zoo and was killed by the tiger. The zoo guards acted quickly enough to prevent a tragedy similar to that in Delhi.",0.763157069683075,0.8906611204147339,0.8219940662384033
Nottingham Forest are close to extending Dougie Freedman's contract The Forest boss took over from former manager Stuart Pearce in February Freedman has since lead the club to ninth in the Championship ,"Dougie Freedman is on the verge of agreeing a new two-year deal at Nottingham Forest. Freedman has stabilised Forest since he replaced cult hero Stuart Pearce. Forest made an audacious attempt on the play-off places when Freedman replaced Pearce but have tailed off since.ff in recent weeks. That has not prevented Forest's ownership making moves to secure Freedman on a contract for the next two seasons. Freedman has been linked with a move away from the club in the past. He has previously played for the likes of Manchester United, Arsenal and Liverpool.",0.7767841219902039,0.8317320346832275,0.8033195734024048
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal Neto joined FiroentinaÂ from Brazilian outfit Atletico Paranaense in 2011 He is also wanted by PSG and Spanish clubs, according to his agent CLICK HERE for the latest Liverpool news ","Neto is also wanted by PSG and clubs in Spain, according to the Brazilian's agent Stefano Castagna. Liverpool were linked with a move for the 25-year-old earlier in the season when Simon Mignolet was dropped from the side. The former Atletico Paranaense keeper looks certain to leave the Florence-based club in the summer.Neto is wanted by a number of top European clubs including Liverpool and PSG, according to his agent. It had been reported that Neto had a verbal agreement to join Serie A champions Juventus at the end of the season. But his agent has revealed no decision about his future has been made yet.Firoentina goalkeeper Neto is wanted by a number of European clubs. Liverpool and Paris Saint-Germain are among those interested. Real Madrid? We'll see, Stefano Castagna says. Castagna adds that Neto will not accept another loan move.Neto represented Brazil at the London 2012 Olympics but has not featured for the senior side. Neto joined Fiorentina from Atletico Paranaense in 2011 and established himself as No1 in the last two seasons. He was warned against joining a club as a No 2 by national coach Dunga.",0.7596604824066162,0.8615643382072449,0.8074097037315369
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year ","The former Olympian and reality TV star, 65, will speak in a 'far-ranging' interview with Sawyer for a special edition of '20/20' on Friday April 24. The interview comes amid growing speculation about the father-of-six's transition to a woman, and follows closely behind his involvement in a deadly car crash in February.Bruce Jenner will speak out in a 'far-ranging' interview with Diane Sawyer later this month, ABC News announced on Monday. Diane Sawyer, who recently mourned the loss of her husband, will return to ABC for the interview. The Kardashians will not be in Armenia when the interview airs, according to TMZ.er's gender identity last year, when he emerged from a Beverly Hills clinic with his Adam's apple shaved down. His behavior over the past year also fueled speculation as he began embracing an increasingly female appearance. He also split from with his wife of more than two decades, Kris Jenner, with whom he has two daughters.On Sunday, he was seen walking to his car in Malibu but hid his body beneath a bulky sweatshirt. Reports also emerged over the past week that he has received a breast enhancement. 'Bruce had silicone breast implants put in a few weeks ago,' a source told RadarOnline.Jenner wants to have all surgeries completed in time to make his on-screen debut as a woman on the fall season of 'Dancing with the Stars' Jenner is also rumored to be filming a spin-off docu-series about the transition on E!, although his reps have refused to confirm the claims.remained silent about his reported transition, some of his relatives, including step-daughter Kim Kardashian, have spoken about about his 'journey' 'I guess I'll kind of let everyone be curious and I feel like that's his journey to talk about,' Kim recently told Entertainment Tonight.Jenner's vehicle was pulling a trailer and an ATV when it rear-ended a woman's car and pushed it into the lane of an oncoming Hummer. She died at the scene. Jenner, who won gold in the decathlon at the 1976 Olympics, also made headlines earlier this year for his involvement in a deadly car crash in Malibu.Kris Jenner's Cadillac Escalade plowed into the back of a Lexus and pushed it into the path of an oncoming Hummer. The Lexus was carrying 69-year-old Kim Howe, who died from chest trauma at the scene. Police sources say Jenner is unlikely to be prosecuted.'s first forays back to TV news following the death of her husband, acclaimed director Mike Nichols, following a heart attack last November. Last September, she left the anchor chair of ABC World News and announced that she planned to focus on specials. In February, she presented 'A Nation of Women Behind Bars', in which she went to prisons across the country to speak with female inmates.",0.7025353312492371,0.8584918975830078,0.7727230191230774
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire It took the efforts of a team of firefighters to winch him out of the water A wayward horse also had to be rescued from a swimming pool in Sussex ","The prize porker known as Pigwig had fallen into the pool in Ringwood, Hampshire. His owners had been taking him for a walk around the garden when the animal plunged into the water and was unable to get out. A team from Dorset Fire and Rescue struggled to haul the huge black pig out of swimming pool water.Two fire crews and a specialist animal rescue team had to use slide boards and strops to haul the huge black pig from the small pool. A spokesman for Dorset Fire and Rescue Service said: 'At 4.50pm yesterday the service received a call to a pig stuck in a swimming pool', and requested the attendance of another appliance which was mobilised from Ringwood. Firefighters were also called out to a horse which had fallen into a swimming pool in Heyshott, West Sussex. The exhausted animal had to be winched to using an all-terrain crane but appeared no worse for wear after its tumble.Pigwig the horse fell into a garden pool in West Sussex. The exhausted animal put up no opposition when firefighters arrived. The two-hour rescue operation ended with the wayward horse being fitted with straps under her belly and lifted up into the air with an all-terrain vehicle.Fire brigade spokesman said that she appeared none the worse for her impromptu swim after stepping over the edge of the domestic pool. crane before being swung around and deposited back on dry land. He said she appeared to be unharmed by the incident and that she had a good night's sleep.",0.7374401688575745,0.8584007620811462,0.7933362126350403
"Figures show that while millions still tune in they listen for shorter bursts Average listener spent ten hours a week tuning in last three months of 2014 This was 14% down on decade earlier, when people tuned in for 116 hours The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment For example, publishers could pay to have their books reviewed on Talking Books The BBC Trust will review the scheme in a year","The average listener spent just ten hours a week tuning in to BBC radio in the last three months of 2014. This was 14 per cent down on a decade ea, according to official figures. While millions still tune in, they listen for much shorter bursts, figures show.Minutes of BBC Trust’s February meeting revealed that director general Tony Hall highlighted the fall. Sources blamed the downward trend on people leading faster-paced lives than in the past, and a change in habits amongst young people. 'He noted…that time spent listening to BBC radio had dropped to its lowest ever level,' the documents said.Many people who used to listen to radio as a daily habit now turn to online streaming services such as Spotify for their music fix. That problem is likely to grow, as Apple develops its long-rumoured streaming service. BBC spokesman said: ‘The number of people listening to BBC radio stations and audience appreciation levels are as high as ever'BBC radio is still reaching 65 per cent of the population each week. But that figure has fallen by more over the last decade. In th.s people ‘tune in’ in new, digital ways, says RAJAR. ‘[Those ways] aren’t reflected in the traditional listening figures quoted here’Lord Hall also used the BBC Trust meeting to note the strong performance of BBC Radio 6, the digital music station which the Corporation had at one point been planning to scrap. ‘He reported that the recent RAJAR figures showed that 6Music had become the first digital-only station to reach two million listeners,’ the minutes said.The Corporation will adopt a new ‘digital first’ strategy, to help it target a new generation of users. He said the organisation needed to ‘learn lessons’ if they wanted to compete with organisations that were born in the digital age. The chief executive said the Corporation needed to 'learn lessons'",0.7356096506118774,0.8170021772384644,0.7741725444793701
"Show will return with a one-hour special, followed by spinoff, star John Stamos says He announced the show Monday night on ""Jimmy Kimmel Live""","Netflix has ordered up a ""Full House"" reunion special and a spinoff series. The show will feature Candace Cameron Bure, who played eldest daughter D.J. Tanner. ""It's sort of a role reversal, and we turn the house over to her,"" Stamos said.Jodie Sweetin and Andrea Barber will both return for the new series. Stamos will produce and guest star. Talks with co-stars Bob Saget, Mary-Kate and Ashley Olsen, Dave Coulier and Lori Loughlin are ongoing. The show will be available next year.The series is based on Tanner's life as a single mom in San Francisco. The series will be available on Netflix in the U.S. and on other platforms in the future. The show will focus on the lives of Tanner and her two younger sisters. It will also focus on her best friend and fellow single mom, Kimmy., move in to help her care for her two boys and the new baby. On Monday, Barber tweeted Cameron Bure to ask whether she was ready to resume their onscreen friendship. ""We never stopped,"" Bure tweeted back. Fans were over the moon at the news.",0.6851859092712402,0.7983992099761963,0.7374728918075562
"Reanne Evans faced Ken Doherty in World Championship qualifier Doherty won the world championship in 1997 Evans lost the first frame 71-15 against Doherty But theÂ DudleyÂ native fought back to lead 4-3 Ken Doherty, however, managed to close out an enthralling contest 10-8 ","Former world champion Ken Doherty potted a final black and extinguished the dream of Reanne Evans to become the first women player to play the hallowed baize of Sheffield's Crucible Theatre. In every other respect however, the 29-year-old Evans, a single mum from Dudley, was a winner on Thursday night.Snooker's governing body had been criticised for allowing Evans a wild card to compete alongside 127 male players for the right to play in the sport's blue-chip event. Doherty, who won the World Championship title back in 2008, beat Evans 10-8.n 1997, took out the first frame 71-15. Evans had Doherty in all sorts of trouble before the former champion closed out the game 10-8. Doherty admitted afterwards: 'She played out of her skin. It was good match play snooker and tough all the way through'Evans, cheered on by her eight-year-old daughter Lauren at the Ponds Forge sports centre in Sheffield, admitted she was exhausted after a match of unfamiliar intensity. 'I don't usually feel sympathy for my opponents but I felt sorry at the end. She played better than me and lost. I don't know how I won that final frame,' she said.ans had led twice during the opening session before Doherty went 5-4 in front. The 10-time ladies world champion collected just £400 as prize money for winning the title in 2013. Doherty beat Stephen Hendry to be crowned the best player in the world in 1997.were wobbling in from the first frame. I just couldn't take advantage in the end. 'I can play better than I did so there is no reason I can't return and beat Ken or even players above him. I have the women's game on my shoulders,' he said.Evans lost the first frame convincingly but the nerves didn't show after that. She reeled off three frames in a row, led 4-3 and once Doherty went in front, pegged him back to 5-5 and 6-6. The Irishman, now ranked No 46 in the world, started to look his 45 years.at every opportunity while Evans often stood while he played. She had the confidence to play right-handed or left-handed, as O'Sullivan sometimes does. The key frame was the sixteenth. It lasted 45 minutes with Evans rattling off the first 59 points and Doherty the next 74.He has two more qualifying rounds before he makes the Crucible. Evans should certainly use this match to become a leading ambassador for women's sport. Her purple and silver waistcoats drew admiring glances from the swimmers and trampolinists who turned up at the leisure centre.had been set up. Next time they will know exactly who she is, and what she can do, and will be able to do something about it. It will be a surprise to the world. It's been a long time since I've seen a woman in a bikini. I've never been in one before.",0.6969225406646729,0.8305695056915283,0.757899284362793
"Gang have been jailed for a total of 31 years for sexually abusing children Offences happened in cars, woods or at the defendants' homes in Banbury Lured victims to parties organised on social media and then abused them Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 ","Six men convicted of a string of sexual offences against teenager girls. The offences ranged from inciting sexual activity with a child, to rape. Oxford Crown Court heard how they lured victims to parties organised on social media. The men were found guilty in March and have now been handed sentences of between 31 and 40 years.Ahmed Hassan-Sule, 21, sentenced to nine years' imprisonment. Mohamed Saleh, 22, was imprisoned for four years and nine months. The girls, aged between 13 and 16, were targeted by the gang. One child described the parties as 'a place where girls would go and the boys would choose their targets'used from 2009 to 2014. Sentenced Hassan-Sule and the others in a court packed with friends and relatives of the defendants and victims. Judge Zoe Smith said: 'You put on charity events to raise money for your football club. This raised your profile among young people in Banbury and you saw yourself as a celebrity'Kagiso Manase, 26, was jailed for four years and Said Saleh, 20, was sentenced to four years' detention in a Young Offenders Institute. The judge rejected the argument put forward by the defence, who accused the girls of coming forward because 'it's better to be a victim than a slag''I felt like all my friends were making new memories and I wasn't part of them' 'Calling people ""slags"" as the defence did in this case stops other girls from coming forward' 'I would say to other girls to think about the future. I never wanted to do it'Thames Valley Police launched Operation Reportage after receiving a tip-off about the men's activities. Eventually tracked down numerous teenager girls who had been molested. Detective Inspector Steve Raffield from Banbury Force CID said: 'This result would not have been possible without the bravery of the victims'Takudzwa Hova, 21, was sentenced to six years' imprisonment. Zsolt Szalontai, 18, sentenced to three years' detention in a Young Offenders' Institute after being found guilty of rape. The judge rejected the argument put forward by the defence at Oxford Crown Court.'it's better to be a victim than a slag' said one of the men. Ahmed Hassan-Sule, 21, of Banbury, was found guilty of 13 counts of sexual activity with a child and one count of assault by penetration. He was sentenced to nine years' imprisonment at Oxford Crown Court. Mohamed Saleh, 22, from Banburys, was jailed for four years and nine months.Takudzwa Hova, 21, was found guilty of one count of sexual activity with a child. He was sentenced to four years' detention in a Young Offenders Institute. Kagiso Manase, 26, of Banbury, was convicted of two counts of rape.Zsolt Szalontai, 18, of Banbury, was found guilty of one count of rape. He was sentenced to three years' detention in a Young Offenders' Institut. Manase had pleaded guilty to possession of identity documents with intent. The offence related to being found in possession or control of a false South African passport and UK residence permit.I.e. I. am not a person. I am a human being. I was born and raised in the U.S. and live in New York City. I have a daughter and a son. I live with my wife and they have two children. I'm a father and a grandfather.",0.669050931930542,0.8339476585388184,0.7424537539482117
