Actual,Predicted,Precision,Recall,F1
"Airline Pilots Association has called for airlines to reduce the number of seats on their planesThe FAA has said it is'very concerned' about the number of people flying on planesUnited Airlines has a 31 inch pitch, while some airlines offer as little as 28 inches31 inches of space between the seat and the seat behind itThomson's short haul seat pitch is 28 inches",Experts question if  packed out planes are putting passengers at risk US consumer advisory group says minimum space must be stipulated Safety tests conducted on planes with more leg room than airlines offer ,0.7832822799682617,0.7568689584732056,0.7698491215705872
"Kamla Nehru Zoological Park spokesman said: 'The lions are not a threat to the visitorsKumar was able to get through themKumar was rescued by zoo security staff before he could reach the lionsDelhi zoo has a lion enclosure, but the lions are not allowed to climb into the enclosures","Drunk teenage boy climbed into lion enclosure at zoo in west India Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!' Fortunately he fell into a moat before reaching lions and was rescued ",0.7713282704353333,0.7739619016647339,0.7726428508758545
Forest's hopes of a play-off placeFreedman has been a key part of the team's success this season,Nottingham Forest are close to extending Dougie Freedman's contract The Forest boss took over from former manager Stuart Pearce in February Freedman has since lead the club to ninth in the Championship ,0.7242616415023804,0.7509732246398926,0.7373755574226379
"Fiorentina have been linked with a move for the Brazilian goalkeeper, who has been linked with a move to LiverpoolEuropean summerFiroentinaBrazil coach Dunga has warned Neto not to play as a No 2 in the future","Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal Neto joined FiroentinaÂ from Brazilian outfit Atletico Paranaense in 2011 He is also wanted by PSG and Spanish clubs, according to his agent CLICK HERE for the latest Liverpool news ",0.7973095178604126,0.7983974814414978,0.7978531718254089
"Bruce Jenner is a man, he is a womanBruce's upcoming interview with Diane Sawyer on Monday, but the gossip site has now confirmed that the interview will air on ABC on TuesdayJenner, who has been married to the reality star for more than 20 years, has been a source of contention for the coupleJenner has been spotted wearing a tan sweatshirt and a pair of black jeansJenner's breasts, he has a'stiff' breastBruce has been a'very private person' for the past few years, and Kim has been a very public person for the past few yearsKris Jenner's family and friendsJenner's lastNichols's first forays back to TV news following the death of her husband, acclaimed director Mike Nichols, following a heart attack last November","Tell-all interview with the reality TV star, 69, will air on Friday April 24 It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year ",0.8135790228843689,0.7400470972061157,0.7750729918479919
"Pool in an upmarket neighbourhood in Ringwood, HampshirePoole, Dorset, and a slide boardWest SussexFirefighters helicopterA spokesman for the fire service said: 'The woman was rescued by a crane and was able to get back to her home","Giant pig fell into the swimming pool at his home in Ringwood, Hampshire It took the efforts of a team of firefighters to winch him out of the water A wayward horse also had to be rescued from a swimming pool in Sussex ",0.7692792415618896,0.7701508402824402,0.7697147727012634
"BBC Radio, which has been a major part of the UK's cultural life for more than 100 yearsBBC Trust’s February meeting revealed that director general Tony Hall highlighted the fallApple-led push for streaming servicesBBC Radio 4’s case, the BBC has been able to re-launch its digital services, bringing in new digital content and a new digital formatChief Operating Officer, said that the Corporation was ‘very pleased’ with the progress of the digital revolution'We are going to be a digital first organisation,' he said","Figures show that while millions still tune in they listen for shorter bursts Average listener spent ten hours a week tuning in last three months of 2014 This was 14% down on decade earlier, when people tuned in for 116 hours The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment For example, publishers could pay to have their books reviewed on Talking Books The BBC Trust will review the scheme in a year",0.736508846282959,0.7307267189025879,0.7336063385009766
"John Stamos saidFull House to the world,"" Netflix said in a statementTanner, are also a part of the familyBarber's tweets were retweeted more than a million times","Show will return with a one-hour special, followed by spinoff, star John Stamos says He announced the show Monday night on ""Jimmy Kimmel Live""",0.7465255856513977,0.72576504945755,0.7359989285469055
"Ken Doherty's lastEvans's time, beat Evans 10-8 in the final at Ponds ForgeDohertyEvans was beaten in the first round by the defending champion, Graeme McDowell, in the finalKen Doherty hit were a bit shaky and he was a bit nervousKen if I had played herDoherty and said: 'I'm not sure I'm going to play you again'Evans in the last frameare dotted around the roomThey will be more careful next time","Reanne Evans faced Ken Doherty in World Championship qualifier Doherty won the world championship in 1997 Evans lost the first frame 71-15 against Doherty But theÂ DudleyÂ native fought back to lead 4-3 Ken Doherty, however, managed to close out an enthralling contest 10-8 ",0.8022553324699402,0.7494465708732605,0.7749522924423218
"20 and 31 yearsAhmed Hassan-Sule, 21, and Mohamed Saleh, 22, who were also jailed for four years and nine monthsa sense of selfMum and I was a victim'slags'Banbury CIDTakudzwa Hova was a'suspicious young man'sexual activity with a childManase was sentenced to four years' imprisonmentA second man, 22, of Banbury, was found guilty of one count of rapee","Gang have been jailed for a total of 31 years for sexually abusing children Offences happened in cars, woods or at the defendants' homes in Banbury Lured victims to parties organised on social media and then abused them Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 ",0.7475890517234802,0.7234509587287903,0.7353219985961914
