Actual,Predicted,BLEU Score
Experts question if  packed out planes are putting passengers at risk US consumer advisory group says minimum space must be stipulated Safety tests conducted on planes with more leg room than airlines offer ,"Airline Pilots Association has called for airlines to reduce the number of seats on their planesThe FAA has said it is'very concerned' about the number of people flying on planesUnited Airlines has a 31 inch pitch, while some airlines offer as little as 28 inches31 inches of space between the seat and the seat behind itThomson's short haul seat pitch is 28 inches",9.9899563910585e-232
"Drunk teenage boy climbed into lion enclosure at zoo in west India Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!' Fortunately he fell into a moat before reaching lions and was rescued ","Kamla Nehru Zoological Park spokesman said: 'The lions are not a threat to the visitorsKumar was able to get through themKumar was rescued by zoo security staff before he could reach the lionsDelhi zoo has a lion enclosure, but the lions are not allowed to climb into the enclosures",1.0655517126358544e-231
Nottingham Forest are close to extending Dougie Freedman's contract The Forest boss took over from former manager Stuart Pearce in February Freedman has since lead the club to ninth in the Championship ,Forest's hopes of a play-off placeFreedman has been a key part of the team's success this season,1.2745957742539486e-231
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal Neto joined FiroentinaÂ from Brazilian outfit Atletico Paranaense in 2011 He is also wanted by PSG and Spanish clubs, according to his agent CLICK HERE for the latest Liverpool news ","Fiorentina have been linked with a move for the Brazilian goalkeeper, who has been linked with a move to LiverpoolEuropean summerFiroentinaBrazil coach Dunga has warned Neto not to play as a No 2 in the future",1.139617859374057e-231
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year ","Bruce Jenner is a man, he is a womanBruce's upcoming interview with Diane Sawyer on Monday, but the gossip site has now confirmed that the interview will air on ABC on TuesdayJenner, who has been married to the reality star for more than 20 years, has been a source of contention for the coupleJenner has been spotted wearing a tan sweatshirt and a pair of black jeansJenner's breasts, he has a'stiff' breastBruce has been a'very private person' for the past few years, and Kim has been a very public person for the past few yearsKris Jenner's family and friendsJenner's lastNichols's first forays back to TV news following the death of her husband, acclaimed director Mike Nichols, following a heart attack last November",8.785989079695497e-232
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire It took the efforts of a team of firefighters to winch him out of the water A wayward horse also had to be rescued from a swimming pool in Sussex ","Pool in an upmarket neighbourhood in Ringwood, HampshirePoole, Dorset, and a slide boardWest SussexFirefighters helicopterA spokesman for the fire service said: 'The woman was rescued by a crane and was able to get back to her home",1.1446717210712768e-231
"Figures show that while millions still tune in they listen for shorter bursts Average listener spent ten hours a week tuning in last three months of 2014 This was 14% down on decade earlier, when people tuned in for 116 hours The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment For example, publishers could pay to have their books reviewed on Talking Books The BBC Trust will review the scheme in a year","BBC Radio, which has been a major part of the UK's cultural life for more than 100 yearsBBC Trust’s February meeting revealed that director general Tony Hall highlighted the fallApple-led push for streaming servicesBBC Radio 4’s case, the BBC has been able to re-launch its digital services, bringing in new digital content and a new digital formatChief Operating Officer, said that the Corporation was ‘very pleased’ with the progress of the digital revolution'We are going to be a digital first organisation,' he said",9.716924016686034e-232
"Show will return with a one-hour special, followed by spinoff, star John Stamos says He announced the show Monday night on ""Jimmy Kimmel Live""","John Stamos saidFull House to the world,"" Netflix said in a statementTanner, are also a part of the familyBarber's tweets were retweeted more than a million times",1.1951155126698611e-231
"Reanne Evans faced Ken Doherty in World Championship qualifier Doherty won the world championship in 1997 Evans lost the first frame 71-15 against Doherty But theÂ DudleyÂ native fought back to lead 4-3 Ken Doherty, however, managed to close out an enthralling contest 10-8 ","Ken Doherty's lastEvans's time, beat Evans 10-8 in the final at Ponds ForgeDohertyEvans was beaten in the first round by the defending champion, Graeme McDowell, in the finalKen Doherty hit were a bit shaky and he was a bit nervousKen if I had played herDoherty and said: 'I'm not sure I'm going to play you again'Evans in the last frameare dotted around the roomThey will be more careful next time",1.0257760464760049e-231
"Gang have been jailed for a total of 31 years for sexually abusing children Offences happened in cars, woods or at the defendants' homes in Banbury Lured victims to parties organised on social media and then abused them Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 ","20 and 31 yearsAhmed Hassan-Sule, 21, and Mohamed Saleh, 22, who were also jailed for four years and nine monthsa sense of selfMum and I was a victim'slags'Banbury CIDTakudzwa Hova was a'suspicious young man'sexual activity with a childManase was sentenced to four years' imprisonmentA second man, 22, of Banbury, was found guilty of one count of rapee",1.0707423501444129e-231
"Mohammed Ali Malek, 27, has been charged with multiple manslaughter Arrived in Malta on Italian rescue ship with bodies of 24 migrant victims He was arrested alongside his 26-year-old Syrian 'smuggler accomplice'Prosecutors say Malek crashed into ship which had come to its rescue Migrants then shifted position as result of collision, causing it to capsize ","Tunisia, he saidMohamed Ali Malek (right) in the face as he tries to save the migrantsMalek, who was arrested on Saturday, has been charged with multiple manslaughterMaltaten to fourteenMalek said: 'It was a very sad dayEuropean Union-led mission to the Mediterranean to help the migrantsEuropean and that it is a 'disaster' for the EUItalian-led efforts in 2011Australia has been a major source of migrants to Italy, with more than a million people arriving in the country since the start of the yearAustraliaAustralia constitutionMalta said he was'very concerned' about the migrant crisisLibyan authorities have reportedly seized a number of boats carrying refugees from the country",9.068941923401082e-232
"Lippert, 42, suffered deep gashes to his hand when he was assaulted by knife-wielding nationalist Kim Ki-Jong in central Seoul last month 'It is an amazing apparatus, one I haven't seen before - so innovative and creative,' he wrote on Facebook ","Kim Ki-Jong, who was a member of the anti-government movement, was arrested on suspicion of attempted murder on FridaySeoul's Severance Hospital has made it in a matter of hoursGrigsby, who is a dog, to be walked in the wheelchairKim Ki-Jong, who was arrested on Wednesday, has denied any intention to killKorean and that he was a'stupid' manKim's alleged involvement in the attack, which he said was a'symbolic' act, and are investigating whether he has violated the lawSouth Korea has also accused North Korea of'smear campaign'ch 5",9.218070395872076e-232
Alastair Cook completed his century on the second morning of action England captain resumed on 95 and reached three figures before retiring That allowed Ian Bell to arrive at the creaseÂ as tourists continued to bat ,"Cook was then dismissed for a duck by the West Indies' captain, who was a tad disappointed with his performanceIan Bell (left) and Gary Ballance (right) celebrate after a day of cricket",1.1656168446495069e-231
US hostage Warren Weinstein is believed to have been accidentally killed in counter-terrorism strike Peter Bergen: US should rethink hostage policy to increase chances of freeing those held ,"US officials had hoped would be a last resortPakistani officials, the Pakistani government was able to negotiate with the Taliban because it had contacts with the militantsPakistan described the killingt often describes CIA drone strikes According to New America, which tracks drone strikes in Pakistan, CIA drone attacks happened in Shawal, North Waziristan, on January 19 in which at least four militants were killed; also on January 15 in Tehsil Ladha, South Waziristan, in which at least five militants were killed; and on January 4 in Datta Khel, South Waziristan, in which at least eight militants were killedAfghanUS citizen, is a former CIA operative who was convicted of leaking information to the FBIUS as the new presidentIMU is a terrorist group that has been operating in Pakistan since the late 1990sPakistan on July 20, 2009Pakistani to Lahore, where they subsequently seized a number of other hostagesal Qaedaal Qaeda""US government has been criticized for not doing enough to free the hostagesAmerican hostages retrievedUS Department of Homeland Security, to oversee the clearance processa key one, it is not a purely political oneQatari government has a long history of negotiating with terrorists, and it has a long history of negotiating with terroristsQatar's coastPakistan has a long history of enforcing its sovereignty over its territory",8.094547275471657e-232
"Sofia Davila, 21, nicknamed the 'Black Widow of Facebook' over crimes Caught after going to police, claiming she was forced out her victim's flat She has admitted bedding and robbing 15 men after spiking their drinks ","Davila, who was arrested on suspicion of robbery, was a 'black widow' who posed as a 'black woman' on FacebookDiego Escalante, from Tigre, Buenos Aires, said he had been robbed after falling victim to the ployamponsDavila's nameDavila'stole the money from him'Davila was arrested on suspicion of robbery and drugging in the city of Buenos Aires on Wednesdaysan diego woman charged with rape",9.750562409185714e-232
"Australian Fashion Report revealed the Australian-sold brands and companies that ignore the exploitation of their overseas workers Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were  some of the worst performers Etiko, Audrey Blue, Cotton On, H&M and Zara had some of the best scores 75 per cent of companies don't know the source of all their fabrics and inputs ","Australian Fashion Report also found that the Australian workforce is a'very diverse' workforce, with a large proportion of Australians working in the fashion industryAustralian clothinga worker earning a little more than the minimum wageLowes, Industrie, Best & Less and the Just Group were identified as some of the worst performersUzbekistan is the only country in the world that has a thriving textile industry, but the country is also home to a large number of migrant workersBapt, said: 'The report shows that the majority of companies still don't know where all their cotton comes fromThe report was based on a survey of 165 million children,' he saidBangladesh's 'unfair' labour laws'we didn't find any information that was particularly good'Kmart, which has a workforce of 30,000, has a workforce of 30,000",8.879906220844727e-232
